Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
200.00	1.0000	1185.7	0.00084339	25.967	26.811	0.13559	0.94020	1.7340	1040.5	-0.23345	undefined	undefined	liquid
201.00	1.0000	1182.6	0.00084560	27.700	28.546	0.14424	0.93920	1.7357	1034.1	-0.23092	undefined	undefined	liquid
202.00	1.0000	1179.5	0.00084782	29.434	30.282	0.15286	0.93822	1.7375	1027.7	-0.22832	undefined	undefined	liquid
203.00	1.0000	1176.4	0.00085006	31.171	32.021	0.16145	0.93726	1.7394	1021.3	-0.22565	undefined	undefined	liquid
204.00	1.0000	1173.3	0.00085233	32.909	33.761	0.17000	0.93632	1.7414	1014.9	-0.22291	undefined	undefined	liquid
205.00	1.0000	1170.1	0.00085461	34.649	35.504	0.17852	0.93540	1.7435	1008.5	-0.22010	undefined	undefined	liquid
206.00	1.0000	1167.0	0.00085692	36.391	37.248	0.18701	0.93450	1.7456	1002.1	-0.21722	undefined	undefined	liquid
207.00	1.0000	1163.8	0.00085925	38.136	38.995	0.19547	0.93361	1.7478	995.69	-0.21427	undefined	undefined	liquid
208.00	1.0000	1160.6	0.00086160	39.882	40.744	0.20390	0.93275	1.7501	989.28	-0.21123	undefined	undefined	liquid
209.00	1.0000	1157.4	0.00086398	41.631	42.495	0.21230	0.93190	1.7525	982.87	-0.20812	undefined	undefined	liquid
210.00	1.0000	1154.2	0.00086638	43.383	44.249	0.22067	0.93106	1.7550	976.46	-0.20493	undefined	undefined	liquid
211.00	1.0000	1151.0	0.00086881	45.136	46.005	0.22901	0.93025	1.7576	970.04	-0.20165	undefined	undefined	liquid
212.00	1.0000	1147.8	0.00087126	46.893	47.764	0.23733	0.92945	1.7603	963.62	-0.19829	undefined	undefined	liquid
213.00	1.0000	1144.5	0.00087373	48.652	49.526	0.24562	0.92867	1.7631	957.19	-0.19484	undefined	undefined	liquid
214.00	1.0000	1141.2	0.00087624	50.414	51.290	0.25388	0.92790	1.7659	950.76	-0.19130	undefined	undefined	liquid
215.00	1.0000	1138.0	0.00087877	52.179	53.058	0.26212	0.92715	1.7689	944.32	-0.18767	undefined	undefined	liquid
216.00	1.0000	1134.7	0.00088132	53.947	54.828	0.27034	0.92642	1.7720	937.88	-0.18394	undefined	undefined	liquid
217.00	1.0000	1131.3	0.00088391	55.718	56.602	0.27853	0.92571	1.7751	931.43	-0.18011	undefined	undefined	liquid
218.00	1.0000	1128.0	0.00088652	57.492	58.378	0.28670	0.92501	1.7784	924.97	-0.17618	undefined	undefined	liquid
219.00	1.0000	1124.6	0.00088917	59.269	60.159	0.29484	0.92432	1.7818	918.51	-0.17215	undefined	undefined	liquid
220.00	1.0000	1121.3	0.00089184	61.050	61.942	0.30297	0.92365	1.7853	912.03	-0.16801	undefined	undefined	liquid
221.00	1.0000	1117.9	0.00089455	62.835	63.729	0.31107	0.92300	1.7889	905.55	-0.16376	undefined	undefined	liquid
222.00	1.0000	1114.5	0.00089729	64.623	65.520	0.31916	0.92236	1.7926	899.06	-0.15939	undefined	undefined	liquid
223.00	1.0000	1111.0	0.00090006	66.414	67.314	0.32722	0.92173	1.7965	892.55	-0.15490	undefined	undefined	liquid
224.00	1.0000	1107.6	0.00090286	68.210	69.113	0.33527	0.92113	1.8005	886.04	-0.15029	undefined	undefined	liquid
225.00	1.0000	1104.1	0.00090571	70.010	70.915	0.34330	0.92053	1.8046	879.51	-0.14556	undefined	undefined	liquid
226.00	1.0000	1100.6	0.00090858	71.813	72.722	0.35131	0.91995	1.8088	872.98	-0.14069	undefined	undefined	liquid
227.00	1.0000	1097.1	0.00091149	73.622	74.533	0.35931	0.91939	1.8132	866.42	-0.13568	undefined	undefined	liquid
228.00	1.0000	1093.6	0.00091444	75.434	76.348	0.36729	0.91884	1.8177	859.86	-0.13054	undefined	undefined	liquid
229.00	1.0000	1090.0	0.00091743	77.251	78.169	0.37525	0.91831	1.8224	853.28	-0.12525	undefined	undefined	liquid
230.00	1.0000	1086.4	0.00092046	79.073	79.993	0.38320	0.91779	1.8272	846.69	-0.11980	undefined	undefined	liquid
231.00	1.0000	1082.8	0.00092354	80.900	81.823	0.39114	0.91728	1.8322	840.08	-0.11420	undefined	undefined	liquid
232.00	1.0000	1079.2	0.00092665	82.731	83.658	0.39907	0.91679	1.8374	833.45	-0.10844	undefined	undefined	liquid
233.00	1.0000	1075.5	0.00092981	84.568	85.498	0.40698	0.91632	1.8427	826.80	-0.10251	undefined	undefined	liquid
234.00	1.0000	1071.8	0.00093301	86.410	87.343	0.41489	0.91585	1.8482	820.14	-0.096394	undefined	undefined	liquid
234.95	1.0000	1068.3	0.00093609	88.162	89.098	0.42237	0.91543	1.8536	813.80	-0.090429	undefined	undefined	liquid
234.95	1.0000	25.918	0.038583	358.71	397.30	1.7341	0.73944	1.1038	221.04	21.573	undefined	undefined	vapor
235.00	1.0000	25.909	0.038597	358.76	397.35	1.7344	0.73921	1.1032	221.09	21.557	undefined	undefined	vapor
236.00	1.0000	25.733	0.038861	359.59	398.45	1.7390	0.73508	1.0933	221.88	21.264	undefined	undefined	vapor
237.00	1.0000	25.560	0.039123	360.42	399.54	1.7437	0.73127	1.0841	222.67	20.977	undefined	undefined	vapor
238.00	1.0000	25.392	0.039383	361.24	400.62	1.7482	0.72775	1.0755	223.44	20.697	undefined	undefined	vapor
239.00	1.0000	25.226	0.039641	362.05	401.69	1.7527	0.72452	1.0675	224.21	20.423	undefined	undefined	vapor
240.00	1.0000	25.064	0.039897	362.86	402.76	1.7571	0.72155	1.0600	224.96	20.156	undefined	undefined	vapor
241.00	1.0000	24.906	0.040152	363.66	403.81	1.7615	0.71881	1.0529	225.70	19.894	undefined	undefined	vapor
242.00	1.0000	24.750	0.040404	364.46	404.86	1.7659	0.71630	1.0464	226.43	19.638	undefined	undefined	vapor
243.00	1.0000	24.597	0.040655	365.25	405.90	1.7702	0.71399	1.0402	227.15	19.388	undefined	undefined	vapor
