Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
200.00	2.5000	1188.2	0.00084160	25.318	27.422	0.13233	0.94093	1.7282	1048.5	-0.23721	undefined	undefined	liquid
201.00	2.5000	1185.2	0.00084376	27.042	29.151	0.14095	0.93992	1.7298	1042.2	-0.23479	undefined	undefined	liquid
202.00	2.5000	1182.1	0.00084595	28.767	30.882	0.14954	0.93894	1.7315	1035.9	-0.23231	undefined	undefined	liquid
203.00	2.5000	1179.0	0.00084816	30.493	32.614	0.15809	0.93797	1.7332	1029.6	-0.22977	undefined	undefined	liquid
204.00	2.5000	1175.9	0.00085038	32.222	34.348	0.16662	0.93703	1.7350	1023.2	-0.22716	undefined	undefined	liquid
205.00	2.5000	1172.8	0.00085263	33.952	36.084	0.17510	0.93610	1.7369	1016.9	-0.22448	undefined	undefined	liquid
206.00	2.5000	1169.7	0.00085490	35.684	37.822	0.18356	0.93519	1.7389	1010.6	-0.22173	undefined	undefined	liquid
207.00	2.5000	1166.6	0.00085719	37.419	39.562	0.19199	0.93430	1.7409	1004.3	-0.21892	undefined	undefined	liquid
208.00	2.5000	1163.5	0.00085950	39.155	41.304	0.20038	0.93343	1.7430	997.97	-0.21603	undefined	undefined	liquid
209.00	2.5000	1160.3	0.00086183	40.893	43.048	0.20875	0.93258	1.7452	991.65	-0.21307	undefined	undefined	liquid
210.00	2.5000	1157.2	0.00086419	42.634	44.794	0.21708	0.93174	1.7475	985.32	-0.21004	undefined	undefined	liquid
211.00	2.5000	1154.0	0.00086657	44.376	46.543	0.22539	0.93092	1.7499	979.00	-0.20692	undefined	undefined	liquid
212.00	2.5000	1150.8	0.00086897	46.121	48.294	0.23367	0.93011	1.7523	972.67	-0.20373	undefined	undefined	liquid
213.00	2.5000	1147.6	0.00087140	47.869	50.047	0.24192	0.92932	1.7549	966.34	-0.20046	undefined	undefined	liquid
214.00	2.5000	1144.4	0.00087385	49.619	51.804	0.25015	0.92855	1.7575	960.01	-0.19710	undefined	undefined	liquid
215.00	2.5000	1141.1	0.00087633	51.372	53.562	0.25835	0.92780	1.7602	953.67	-0.19365	undefined	undefined	liquid
216.00	2.5000	1137.9	0.00087883	53.127	55.324	0.26652	0.92706	1.7630	947.33	-0.19012	undefined	undefined	liquid
217.00	2.5000	1134.6	0.00088136	54.885	57.089	0.27467	0.92633	1.7660	940.98	-0.18650	undefined	undefined	liquid
218.00	2.5000	1131.3	0.00088392	56.646	58.856	0.28280	0.92563	1.7690	934.63	-0.18278	undefined	undefined	liquid
219.00	2.5000	1128.0	0.00088650	58.410	60.627	0.29090	0.92493	1.7721	928.27	-0.17897	undefined	undefined	liquid
220.00	2.5000	1124.7	0.00088912	60.177	62.400	0.29898	0.92426	1.7753	921.91	-0.17506	undefined	undefined	liquid
221.00	2.5000	1121.4	0.00089176	61.948	64.177	0.30704	0.92359	1.7786	915.54	-0.17105	undefined	undefined	liquid
222.00	2.5000	1118.0	0.00089444	63.721	65.957	0.31508	0.92295	1.7820	909.17	-0.16693	undefined	undefined	liquid
223.00	2.5000	1114.7	0.00089714	65.498	67.741	0.32309	0.92231	1.7855	902.78	-0.16270	undefined	undefined	liquid
