Time,Thrust,T_cc,p_cc,OF,T_tank,p_tank,x_tank
[s],[N],[K],[Pa],[-],[K],[Pa],[-]
0,-645.786976761706,292,101324,7.52649217586111,292.372105263158,4964000,0.114444252929657
0.0008,6599.96639761517,3095.04522903131,3433931.51406609,7.00802699067539,292.372105263158,4964000,0.114453575928437
0.0016,7022.12854451154,2680.83664777291,2711970.53979879,7.36789260628747,292.372105263158,4964000,0.114461660691055
0.0024,6245.4979098966,3213.06416644641,2871503.43532031,7.3065640783303,292.372105263158,4964000,0.114470599204923
0.0032,5961.30379550049,3203.62562305727,2907257.35513127,7.29132395269056,292.372105263158,4964000,0.114479391705628
0.004,6152.55519934288,3187.77347429206,3005534.84231681,7.24825534362985,292.372105263158,4964000,0.114488149706281
0.0048,6392.31202485091,3263.49914604876,3099365.03472816,7.20329965116516,292.372105263158,4964000,0.114496806647887
0.0056,6436.18761245087,3328.00796454819,3106617.93615727,7.19972248659788,292.372105263158,4964000,0.11450535858617
0.0064,6343.347445279,3329.85299192429,3060960.76944193,7.22190819651737,292.372105263158,4964000,0.114513904066881
0.0072,6259.92937573406,3297.10161986568,3026770.00079326,7.23828470490261,292.372105263158,4964000,0.114522504346679
0.008,6252.35055423332,3276.09011633182,3028045.17065707,7.2376804920866,292.372105263158,4964000,0.114531145748759
0.0088,6289.25078389662,3278.92005212604,3046105.67690623,7.22838325010343,292.362105263158,4962860,0.114687580812899
0.0096,6316.55044075154,3291.42956942584,3057103.55534664,7.2230687205261,292.362105263158,4962860,0.114696223339961
0.0104,6315.33621450519,3297.98282684427,3055099.24090263,7.22403912981421,292.362105263158,4962860,0.114704855232957
0.0112,6300.74381121476,3296.02492672438,3048393.64985109,7.22728101033781,292.362105263158,4962860,0.114713491515298
0.012,6291.75671412472,3291.45728125848,3045101.77398319,7.22886625697314,292.362105263158,4962860,0.114722137624298
0.0128,6293.16349549071,3289.50618050298,3046417.3019485,7.22755929643997,292.352105263158,4961720,0.114878503049307
0.0136,6298.2577017828,3290.83073215693,3048921.97903292,7.22635130262013,292.352105263158,4961720,0.114887174579339
0.0144,6300.35252395983,3292.35359790907,3049728.72281428,7.22596170678762,292.352105263158,4961720,0.114895845291973
0.0152,6299.05750716715,3292.76711130847,3049130.75577638,7.22625050304072,292.352105263158,4961720,0.114904517150794
0.016,6297.0770309895,3292.27993247545,3048408.80902088,7.22659899610615,292.352105263158,4961720,0.114913191784779
0.0168,6296.36283294039,3291.77587604733,3048323.74142652,7.22596475549505,292.342105263158,4960580,0.115069503223732
0.0176,6296.56204284618,3292.00219310761,3048629.56665627,7.22581704663894,292.342105263158,4960580,0.11507820193273
0.0184,6296.53312594754,3292.08293192856,3048705.48451217,7.22578037398333,292.342105263158,4960580,0.115086902374907
0.0192,6296.30698503987,3292.10460934752,3048731.68855249,7.22576771542856,292.342105263158,4960580,0.115095604818253
0.02,6296.08883488304,3292.08554153921,3048783.08909251,7.22574288428046,292.342105263158,4960580,0.115104309321319
0.0208,6295.98884685921,3292.08297016891,3048889.23179517,7.2250154771669,292.332105263158,4959440.00000001,0.115260570201471
0.0216,6295.70618336586,3292.4017253969,3048931.84430202,7.22499487261541,292.332105263158,4959440.00000001,0.115269297664771
0.0224,6295.05603309377,3292.29233287225,3048740.17609617,7.2250875450795,292.332105263158,4959440.00000001,0.115278027174818
0.0232,6294.66449561027,3292.14278344016,3048722.03699276,7.2250963146965,292.332105263158,4959440.00000001,0.115286759006164
0.024,6294.64928719267,3292.1066321371,3048877.81385819,7.22502099799848,292.332105263158,4959440.00000001,0.115295492956855
0.0248,6294.76515866646,3292.17835141274,3049073.98723304,7.22492613683178,292.332105263158,4959440.00000001,0.115304228824295
0.0256,6294.77821776389,3292.27014295102,3049213.56322839,7.22420773141796,292.322105263158,4958315.78947369,0.115458954436812
