Time,Thrust,T_cc,p_cc,OF,T_tank,p_tank,x_tank
[s],[N],[K],[Pa],[-],[K],[Pa],[-]
0,-645.786976761706,292,101324,7.52649217586111,292.372105263158,4964000,0.114444252929657
0.0008,6130.33306052349,2856.49940437264,3214903.76089968,7.14269840536659,292.372105263158,4964000,0.114453575928437
0.0016,6799.74047914363,2440.3792429236,2626368.40596882,7.39754188434062,292.372105263158,4964000,0.114461974438853
0.0024,6232.1884665461,3015.98333679708,2878879.21015058,7.30343922967738,292.372105263158,4964000,0.114470985124588
0.0032,5979.04853238628,3063.07525643664,2917989.99351768,7.28682140612528,292.372105263158,4964000,0.114479770199746
0.004,6093.98587884484,3049.36281398908,2976835.07395585,7.26143105837387,292.372105263158,4964000,0.114488517478157
0.0048,6261.06273586629,3097.99891713774,3040971.3273052,7.23152076345316,292.372105263158,4964000,0.114497206013977
0.0056,6298.00927480569,3142.05281954991,3048954.75642308,7.22768468694412,292.372105263158,4964000,0.114505825197085
0.0064,6237.95661157925,3145.66880804571,3019262.46446563,7.24182942661881,292.372105263158,4964000,0.114514437304262
0.0072,6178.8919600147,3125.559478295,2994911.6327729,7.25317860157656,292.372105263158,4964000,0.114523085230411
0.008,6168.85600485154,3110.98618010312,2993600.1795869,7.25378338803147,292.372105263158,4964000,0.114531762375774
0.0088,6191.17857000428,3111.20953307334,3004809.53038353,7.24793515778231,292.362105263158,4962860,0.114688235937222
0.0096,6210.72419712401,3118.72218174425,3012931.13145337,7.24414136368436,292.362105263158,4962860,0.114696925445448
0.0104,6212.37344089567,3123.42855758269,3012733.10168721,7.24423416827776,292.362105263158,4962860,0.114705607952981
0.0112,6203.76934774726,3122.96213925912,3008729.39628344,7.24610724601454,292.362105263158,4962860,0.114714292776363
0.012,6197.09259480286,3120.32948109767,3006204.42424173,7.24728536507635,292.362105263158,4962860,0.114722984187236
0.0128,6196.77622897562,3118.81637153338,3006564.75695884,7.24645844419611,292.352105263158,4961720,0.114879393759403
0.0136,6199.53706322187,3119.372791117,3008049.12391244,7.24576539763888,292.352105263158,4961720,0.114888110919563
0.0144,6201.06657564329,3120.20018950671,3008717.40973152,7.2454531014632,292.352105263158,4961720,0.114896828515811
0.0152,6200.63728123278,3120.55950784625,3008563.24588682,7.24552515883762,292.352105263158,4961720,0.114905547464312
0.016,6199.51702304653,3120.4007268808,3008201.60380323,7.24569415742884,292.352105263158,4961720,0.114914268690674
0.0168,6198.90841085451,3120.13658665123,3008117.59492084,7.24507329396146,292.342105263158,4960580,0.115070626050651
0.0176,6198.73848431649,3120.31678170284,3008238.97517907,7.245016536198,292.342105263158,4960580,0.115079371104144
0.0184,6198.44218217345,3120.27736677168,3008209.15993306,7.24503047841731,292.342105263158,4960580,0.115088118131788
0.0192,6198.22490403092,3120.23705005235,3008253.99467591,7.24500951264481,292.342105263158,4960580,0.115096867305026
0.02,6198.1453115162,3120.23540358424,3008369.12643251,7.24495567081839,292.342105263158,4960580,0.115105618540305
0.0208,6198.13356368325,3120.27340362472,3008507.97292762,7.24422987692233,292.332105263158,4959440.00000001,0.115261925786537
0.0216,6197.85482631814,3120.57966670982,3008544.76253998,7.24421265536859,292.332105263158,4959440.00000001,0.115270700065908
0.0224,6197.19296018036,3120.47749216048,3008348.50390352,7.24430451982862,292.332105263158,4959440.00000001,0.115279476422606
0.0232,6196.78172775305,3120.33228911472,3008321.35929164,7.24431722447666,292.332105263158,4959440.00000001,0.11528825512178
0.024,6196.75072036058,3120.29035952706,3008469.04838978,7.2442480972891,292.332105263158,4959440.00000001,0.115297035972439
0.0248,6196.86729415307,3120.35241056531,3008664.7821028,7.24352000508023,292.322105263158,4958315.78947369,0.115451808278304
0.0256,6196.6608153665,3120.68449058551,3008726.68920367,7.2434910000418,292.322105263158,4958315.78947369,0.115460611876902
