Time,Thrust,T_cc,p_cc,OF,T_tank,p_tank,x_tank
[s],[N],[K],[Pa],[-],[K],[Pa],[-]
0,-641.766210384611,292,101324,6.05467841921943,292.372105263158,4964000,0.952753441959493
0.001,2622.00573420654,1567.67729108234,1541207.1533816,6.12776212300947,292.372105263158,4964000,0.95311183548857
0.002,3553.58037343196,1464.11702064508,1575167.84564802,6.12518227004913,292.372105263158,4964000,0.953479226060276
0.003,4444.47376725705,2336.59031833397,2211161.47959113,6.04312257168372,292.372105263158,4964000,0.953846603603119
0.004,4847.27652498401,3030.65919599652,2420035.97667691,6.00106017899934,292.372105263158,4964000,0.95420448825007
0.005,4437.71065638995,3282.86894548305,2211201.48944377,6.04311538437654,292.372105263158,4964000,0.954557683636317
0.006,3843.00293418278,3058.66143362486,1944424.57071654,6.08543265487253,292.372105263158,4964000,0.95491612635284
0.007,3701.99762789507,2891.18642050037,1910876.44277877,6.08988170815699,292.372105263158,4964000,0.955279894558208
0.008,3895.68341700141,2923.5450959794,2011938.35657956,6.0757328838572,292.372105263158,4964000,0.955644485730502
0.009,4036.81270448072,2998.15836545109,2066633.21308167,6.06750542203074,292.372105263158,4964000,0.956007674143766
0.01,4023.98810966648,3027.03265982794,2052626.34815012,6.06961638467051,292.372105263158,4964000,0.956370167504629
0.011,3954.54839887872,3006.01901745211,2020899.58098183,6.07402173466982,292.362105263158,4962860,0.956683124006452
0.012,3928.04287565825,2984.18622181705,2012540.76627674,6.07529864484207,292.362105263158,4962860,0.957046963800397
0.013,3945.81642830611,2983.37864524825,2022522.8259057,6.0737721085678,292.362105263158,4962860,0.957411246548839
0.014,3965.44853857915,2992.4382388493,2030811.79301799,6.07214376469251,292.352105263158,4961720,0.957725326014735
0.015,3966.59703420161,2997.22824183932,2030328.50557011,6.07221901645681,292.352105263158,4961720,0.958089800195459
0.016,3958.18933243486,2995.21317552748,2026384.57632442,6.07283134280929,292.352105263158,4961720,0.958454573872785
0.017,3953.84954842678,2992.2942113506,2024922.33166272,6.07271278637551,292.342105263158,4960580,0.958769168261342
