Time,Thrust,T_cc,p_cc,OF,T_tank,p_tank,x_tank
[s],[N],[K],[Pa],[-],[K],[Pa],[-]
0,-641.763792196203,292,101324,5.24350532278943,292.372105263158,4964000,0.114444252929657
0.001,1505.37730953997,1192.04038409677,1018232.68844596,5.32383003407859,292.372105263158,4964000,0.114449549790884
0.002,2276.92163219286,1162.73006320632,1113583.50119285,5.32334674014947,292.372105263158,4964000,0.114455010997879
0.003,3134.83589539675,1900.6195274048,1651499.16372775,5.29882350334173,292.372105263158,4964000,0.114460472044426
0.004,3746.94552377034,2643.86881135212,1945005.37816232,5.27007106541989,292.372105263158,4964000,0.114465883711427
0.005,3578.07962944065,3104.61364101254,1844835.09151112,5.28118124343031,292.372105263158,4964000,0.114471237611194
0.006,3011.4723970428,3025.89009023749,1582988.47345525,5.30403508089848,292.372105263158,4964000,0.11447661491236
0.007,2682.58943882371,2767.25661695992,1454930.21056031,5.31198022424022,292.372105263158,4964000,0.114482039669985
0.008,2762.81214494674,2734.12882588767,1512261.13484087,5.30864994745817,292.372105263158,4964000,0.114487481515326
0.009,2918.89109576795,2799.10920636539,1580061.35097478,5.30423401662358,292.372105263158,4964000,0.114492917362873
0.01,2965.91692887357,2850.87184541472,1592933.6625031,5.30334869332516,292.372105263158,4964000,0.114498344991778
0.011,2923.81114617474,2850.0159076115,1571047.92828117,5.30483774433208,292.372105263158,4964000,0.114503771629162
0.012,2883.78877381435,2827.250195886,1554935.23563385,5.30588352381027,292.372105263158,4964000,0.114509202135216
0.013,2882.12495138583,2817.36945311953,1556479.8843707,5.30578513760652,292.372105263158,4964000,0.114514635604395
0.014,2897.61398589045,2821.84551084275,1563802.94963663,5.3053132989283,292.372105263158,4964000,0.114520069694184
0.015,2905.73703407688,2828.05533888498,1566753.30667632,5.30512068805195,292.372105263158,4964000,0.114525503639582
0.016,2903.31007383555,2829.27528095817,1565246.32405069,5.30521924991394,292.372105263158,4964000,0.114530938012513
0.017,2898.80207536143,2827.32520960519,1563365.3695494,5.30508490466966,292.362105263158,4962860,0.114684167237798
