T	p	rho(l)	rho(g)	h(l)	h(g)	del vaph	s_liq	s_vap
K	Pa	kg/m3	kg/m3	J/kg	J/kg	J/kg	J/kgK	J/kgK
182.33	87730	1222.8	2.613	-474000	-96800	377000	-22.0165	2045.4865
184.69	101325	1216.3	2.987	-470000	-95400	375000	0.0565	2026.6331
185	103200	1215.5	3.039	-470000	-95200	374000	2.9359	2024.2595
190	138000	1201.6	3.98	-461000	-92200	369000	48.7674	1986.7705
195	181300	1187.4	5.133	-452000	-89300	363000	93.5165	1951.8774
200	234500	1172.9	6.528	-443000	-86600	357000	137.2778	1919.197
205	298800	1158.2	8.198	-434000	-84000	350000	180.1391	1888.4803
210	375800	1143.2	10.18	-425000	-81600	344000	222.1829	1859.5011
215	466900	1127.8	12.5	-416000	-79400	337000	263.4871	1832.0524
220	573800	1112.1	15.21	-407000	-77300	330000	304.1263	1805.9429
225	698000	1096	18.36	-398000	-75500	323000	344.173	1780.9937
230	841100	1079.5	21.98	-389000	-73800	315000	383.6981	1757.0351
235	1005000	1062.4	26.13	-380000	-72300	307000	422.7729	1733.9043
240	1191000	1044.8	30.89	-370000	-71100	299000	461.4696	1711.4412
245	1401000	1026.6	36.31	-361000	-70200	291000	499.864	1689.4858
250	1638000	1007.7	42.49	-351000	-69600	282000	538.0369	1667.8738
255	1902000	988	49.53	-341000	-69200	272000	576.0772	1646.4315
260	2196000	967.4	57.57	-331000	-69300	262000	614.0861	1624.9688
265	2522000	945.7	66.77	-321000	-69800	251000	652.183	1603.27
270	2881000	922.7	77.35	-311000	-70700	240000	690.5145	1581.0787
275	3278000	898.1	89.62	-300000	-72300	227000	729.2693	1558.0752
280	3712000	871.5	104	-288000	-74600	214000	768.7033	1533.8378
285	4188000	842.3	121.2	-277000	-77900	199000	809.1872	1507.7716
290	4708000	809.7	142.1	-264000	-82400	182000	851.3021	1478.9646
295	5276000	771.8	168.8	-250000	-88900	161000	896.0698	1445.8514
300	5896000	725.3	204.9	-235000	-98500	137000	945.6339	1405.2348
305	6573000	660.5	261.5	-217000	-115000	102000	1006.3629	1347.9699
309.57	7251000	452	452	-200000	-200000	0	1168.1607	1168.1607
